"Time"	"Survival"
"1"	0	1
"2"	0.457641	0.982727
"3"	1.64885	0.973182
"4"	1.9517	0.962273
"5"	2.29493	0.947273
"6"	2.41607	0.933636
"7"	4.03127	0.918636
"8"	5.70705	0.909091
"9"	5.90895	0.892727
"10"	6.75693	0.881818
"11"	8.61441	0.853182
"12"	9.11916	0.842273
"13"	10.169	0.825909
"14"	10.3911	0.812273
"15"	10.8959	0.802727
"16"	11.7439	0.77
"17"	13.6417	0.753636
"18"	15.2367	0.738636
"19"	16.9933	0.722273
"20"	18.77	0.711364
"21"	19.1132	0.693636
"22"	21.5158	0.666364
"23"	28.2593	0.591364
"24"	33.99	0.591364
